EventDate,CounterID,ClientIP,SearchEngineID,SearchPhrase,ResolutionWidth,Title,IsRefresh,DontCountHits
2013-07-04,44,109.248.115.76,6,Self-enabling interactive strategy,1440,morph,0,0
2013-07-03,44,151.126.144.239,14,Multi-lateral real-time budgetary management,1280,engage,0,0
2013-07-23,25,154.117.244.225,14,Synergized 24/7 groupware,1920,scale,0,0
2013-07-16,99,156.51.106.152,7,Optimized value-added project,1920,implement,0,0
2013-07-13,62,195.227.54.255,6,Balanced real-time intranet,1366,disintermediate,0,0
2013-07-30,10,185.15.139.203,13,Re-engineered 3rdgeneration policy,1280,optimize,0,0
2013-07-24,62,61.74.67.57,19,,1440,cultivate,0,0
2013-07-24,62,129.158.43.131,3,,1280,synthesize,0,0
2013-07-09,25,184.216.248.138,17,Open-source 4thgeneration moderator,1536,re-intermediate,1,0
2013-07-07,62,109.132.72.199,4,,1366,extend,0,1
2013-07-08,62,79.248.228.75,12,Quality-focused responsive Local Area Network,1440,synthesize,0,0
2013-07-01,10,79.248.228.75,15,Synergistic needs-based productivity,1366,deploy,0,0
2013-07-06,62,114.105.185.103,3,Automated demand-driven service-desk,1366,monetize,1,1
2013-07-14,10,191.19.168.24,16,Advanced mission-critical collaboration,1280,transform,0,0
2013-07-13,44,3.255.99.244,4,,1280,leverage,0,0
2013-07-07,10,40.99.66.151,13,Distributed upward-trending encoding,1280,envisioneer,0,0
2013-07-30,25,18.60.211.186,9,De-engineered bifurcated pricing structure,1536,evolve,0,0
2013-07-03,44,136.169.42.27,8,Programmable web-enabled Local Area Network,1440,orchestrate,1,0
2013-07-29,62,151.71.95.208,6,,1440,facilitate,1,0
2013-07-06,10,65.167.221.71,6,Ergonomic directional forecast,1440,revolutionize,0,0
2013-07-10,62,181.198.155.37,1,Pre-emptive didactic circuit,1920,deploy,0,0
2013-07-30,25,64.149.72.166,4,Operative foreground emulation,1440,whiteboard,0,0
2013-07-31,10,150.153.227.50,8,Monitored upward-trending product,1920,leverage,0,1
2013-07-27,10,64.18.130.56,15,,1440,revolutionize,0,0
2013-07-30,44,8.108.13.125,16,Profit-focused 24/7 synergy,1536,reinvent,0,0
2013-07-01,62,29.136.209.205,14,Reactive optimal installation,1920,aggregate,0,0
2013-07-31,99,108.96.161.138,10,Programmable stable solution,1280,aggregate,0,0
2013-07-11,10,196.111.57.28,1,,1536,repurpose,0,1
2013-07-10,10,1.159.139.230,9,Organic responsive neural-net,1440,grow,0,0
2013-07-19,25,3.43.181.121,2,Stand-alone bifurcated core,1920,scale,0,0
2013-07-29,62,67.121.103.247,7,Polarized even-keeled frame,1536,synergize,0,0
2013-07-02,10,8.108.13.125,11,Organized dedicated hierarchy,1366,orchestrate,1,0
2013-07-13,62,48.90.70.40,8,,1280,deploy,0,0
2013-07-24,62,61.225.38.209,2,,1440,brand,0,0
2013-07-28,62,88.80.62.54,6,Inverse bottom-line approach,1536,visualize,0,0
2013-07-15,62,38.243.153.138,18,Cross-group foreground firmware,1280,embrace,0,0
2013-07-29,25,40.110.58.3,9,Exclusive composite installation,1280,e-enable,0,0
2013-07-18,62,24.119.52.154,17,Switchable analyzing Local Area Network,1920,generate,0,0
2013-07-28,62,56.211.50.48,13,Multi-tiered 4thgeneration system engine,1280,aggregate,0,0
2013-07-25,44,39.58.210.43,13,,1920,productize,0,0
2013-07-28,44,83.40.42.19,16,Synergistic web-enabled Graphical User Interface,1920,facilitate,0,0
2013-07-10,10,207.174.168.92,4,Enterprise-wide demand-driven capacity,1920,re-contextualize,0,0
2013-07-15,62,184.185.246.110,15,Diverse transitional toolset,1920,re-contextualize,0,0
2013-07-20,10,101.132.247.216,12,Up-sized 24/7 definition,1440,enhance,0,0
2013-07-21,99,94.42.9.140,2,Up-sized intermediate contingency,1536,matrix,0,0
2013-07-31,99,119.16.131.210,11,,1280,matrix,0,0
2013-07-23,62,92.175.160.139,5,Inverse hybrid Graphical User Interface,1920,e-enable,0,0
2013-07-08,62,100.237.63.36,3,De-engineered maximized task-force,1536,unleash,0,0
2013-07-01,62,137.91.98.68,2,Devolved composite adapter,1440,enhance,0,0
2013-07-18,62,170.116.249.239,7,Universal scalable neural-net,1280,redefine,0,0
2013-07-03,10,182.95.26.65,16,Assimilated asynchronous emulation,1280,maximize,0,0
2013-07-23,25,72.130.235.169,6,Decentralized leadingedge open system,1280,engage,1,0
2013-07-13,25,115.107.64.241,7,,1920,optimize,1,0
2013-07-07,62,67.121.103.247,3,Public-key attitude-oriented monitoring,1536,deploy,1,0
2013-07-16,44,91.206.18.123,12,Profit-focused motivating monitoring,1440,engineer,1,0
2013-07-05,44,198.37.30.214,18,Public-key well-modulated concept,1440,scale,0,0
2013-07-29,44,201.117.19.52,11,Synchronized high-level success,1440,benchmark,0,0
2013-07-15,44,88.158.139.187,10,Phased reciprocal algorithm,1920,innovate,1,0
2013-07-15,99,212.72.16.22,1,Compatible mobile approach,1366,enhance,0,0
2013-07-22,62,93.185.35.226,3,Function-based full-range forecast,1440,monetize,0,0
2013-07-29,62,149.131.153.167,12,,1366,target,0,0
2013-07-01,44,28.225.52.42,19,Extended composite hierarchy,1366,scale,0,0
2013-07-15,62,53.95.156.155,5,Visionary bifurcated migration,1366,unleash,0,0
2013-07-10,10,206.138.111.100,13,Multi-tiered 24hour archive,1280,extend,0,0
2013-07-21,62,124.122.177.206,16,Distributed impactful forecast,1280,generate,0,0
2013-07-06,44,73.16.145.155,7,,1280,exploit,0,0
2013-07-06,25,151.173.116.114,2,Intuitive client-driven complexity,1920,transform,0,0
2013-07-02,44,194.30.250.48,17,Cloned systemic moratorium,1366,synergize,0,0
2013-07-03,44,7.149.132.75,9,,1536,empower,0,0
2013-07-03,62,48.205.9.90,4,,1920,aggregate,0,0
2013-07-29,62,161.88.153.56,17,Public-key well-modulated interface,1280,orchestrate,1,0
2013-07-01,10,79.86.228.69,5,Programmable full-range focus group,1440,incentivize,0,0
2013-07-31,62,145.97.32.81,4,User-friendly global architecture,1920,aggregate,0,0
2013-07-25,62,65.38.53.213,19,Operative mission-critical structure,1366,expedite,0,0
2013-07-21,99,171.6.102.203,5,Polarized real-time application,1536,engineer,0,0
2013-07-31,62,187.140.8.97,15,Distributed bandwidth-monitored Graphical User Interface,1440,synthesize,0,0
2013-07-25,25,169.198.94.204,7,Vision-oriented attitude-oriented database,1440,revolutionize,0,0
2013-07-28,10,119.16.131.210,11,Sharable motivating challenge,1280,reinvent,0,0
2013-07-08,44,75.167.249.12,2,Self-enabling scalable capacity,1920,maximize,0,0
2013-07-05,44,34.52.118.254,10,Focused mission-critical capability,1440,orchestrate,0,0
2013-07-26,25,38.232.34.159,3,Expanded local project,1366,iterate,1,0
2013-07-21,25,93.185.35.226,19,,1536,utilize,0,0
2013-07-22,44,152.163.86.7,17,Progressive mobile challenge,1440,e-enable,0,0
2013-07-08,25,106.145.202.85,13,Ameliorated global moratorium,1366,transform,0,0
2013-07-19,99,100.237.63.36,19,Ergonomic actuating methodology,1280,integrate,0,0
2013-07-29,10,222.102.188.165,18,Future-proofed client-server product,1440,harness,0,0
2013-07-30,25,93.106.206.38,16,Multi-tiered impactful attitude,1366,exploit,0,0
2013-07-13,99,11.129.240.148,3,,1920,transform,0,0
2013-07-24,62,29.64.212.72,1,Fully-configurable composite array,1440,drive,0,0
2013-07-03,44,21.102.33.35,1,,1536,implement,0,0
2013-07-20,62,223.172.76.72,4,Focused modular forecast,1366,optimize,0,0
2013-07-24,10,190.55.22.124,7,Diverse fresh-thinking moderator,1366,envisioneer,0,0
2013-07-02,44,132.218.74.114,19,Fundamental uniform functionalities,1536,syndicate,0,0
2013-07-05,62,140.129.226.34,6,,1920,disintermediate,0,0
2013-07-17,10,188.166.222.247,13,,1920,unleash,0,0
2013-07-19,62,176.224.148.110,4,,1366,re-intermediate,0,0
2013-07-24,44,152.93.75.209,8,Decentralized context-sensitive forecast,1920,orchestrate,0,0
2013-07-24,25,32.134.30.88,17,Grass-roots upward-trending matrices,1440,re-intermediate,1,0
2013-07-16,25,56.16.64.211,9,User-centric transitional protocol,1366,harness,0,0
2013-07-18,62,98.7.133.253,15,,1920,strategize,1,0
2013-07-30,44,57.54.222.252,10,Compatible cohesive extranet,1536,iterate,0,0
2013-07-28,62,88.66.116.241,19,Seamless attitude-oriented analyzer,1366,embrace,1,0
2013-07-12,62,190.55.22.124,5,Versatile explicit synergy,1366,engage,0,0
2013-07-11,25,28.27.189.93,6,Expanded non-volatile product,1440,engage,0,0
2013-07-10,10,191.8.185.13,4,,1536,transform,1,0
2013-07-31,44,33.198.12.80,11,Face-to-face national core,1440,implement,1,0
2013-07-22,62,119.16.131.210,5,,1536,re-intermediate,0,0
2013-07-08,62,103.175.148.82,11,,1366,redefine,0,0
2013-07-16,62,28.54.152.163,11,Down-sized responsive installation,1280,syndicate,0,0
2013-07-12,99,154.117.244.225,11,Integrated 4thgeneration attitude,1536,drive,0,0
2013-07-03,62,187.159.191.104,1,Object-based 24hour knowledgebase,1536,orchestrate,0,0
2013-07-23,62,8.125.76.187,8,Object-based bi-directional Internet solution,1440,harness,0,0
2013-07-31,62,19.56.90.97,1,Customer-focused tangible concept,1920,strategize,0,0
2013-07-15,44,86.14.202.135,8,Synergized exuding process improvement,1366,enhance,0,0
2013-07-05,62,24.23.237.156,16,Operative uniform project,1440,reinvent,1,0
2013-07-02,62,180.135.114.176,12,Digitized high-level throughput,1536,incubate,0,0
2013-07-14,10,195.53.93.122,6,Diverse scalable hub,1536,disintermediate,1,0
2013-07-14,62,42.181.142.210,5,Automated even-keeled synergy,1366,architect,0,0
2013-07-16,99,56.254.23.16,7,Enhanced tertiary knowledgebase,1440,target,0,0
2013-07-16,44,198.77.1.214,9,Adaptive local throughput,1536,synthesize,1,0
2013-07-09,44,197.240.123.149,1,Managed client-server customer loyalty,1536,disintermediate,0,0
2013-07-04,62,78.240.74.113,16,,1920,evolve,0,0
2013-07-26,44,42.181.142.210,10,Exclusive mission-critical frame,1920,evolve,0,0
2013-07-09,10,138.65.1.98,10,Fully-configurable 24/7 throughput,1280,deliver,0,0
2013-07-30,62,67.136.77.126,2,Intuitive bottom-line benchmark,1440,incentivize,0,0
2013-07-25,44,31.254.43.203,9,Enterprise-wide full-range toolset,1920,orchestrate,1,0
2013-07-16,25,64.112.48.240,8,,1366,innovate,0,0
2013-07-29,44,100.8.134.231,16,Organized bottom-line architecture,1366,synthesize,0,0
2013-07-21,99,104.227.39.5,16,Switchable intermediate software,1440,expedite,1,0
2013-07-25,25,194.113.103.194,14,Pre-emptive mobile architecture,1366,synthesize,0,0
2013-07-20,10,145.97.251.99,17,,1280,utilize,0,0
2013-07-05,44,191.91.67.190,11,Adaptive multi-state hub,1536,reinvent,0,0
2013-07-19,62,171.62.143.90,17,,1536,architect,1,0
2013-07-04,44,156.51.106.152,8,Optimized static adapter,1536,extend,1,0
2013-07-18,10,156.103.245.93,15,,1440,enhance,0,0
2013-07-24,44,180.75.40.58,19,Reactive global approach,1366,synergize,0,0
2013-07-11,62,98.171.221.90,15,Devolved maximized utilization,1440,expedite,0,0
2013-07-24,62,180.21.124.38,7,Multi-tiered modular focus group,1366,innovate,0,0
2013-07-08,25,86.165.82.15,2,Inverse stable forecast,1366,monetize,0,0
2013-07-13,44,42.111.184.3,4,Switchable foreground model,1536,evolve,0,0
2013-07-13,10,180.95.30.94,9,Reactive explicit installation,1366,target,0,0
2013-07-14,10,14.61.32.235,4,Robust reciprocal service-desk,1920,reinvent,0,0
2013-07-20,62,32.4.120.166,11,,1536,extend,1,0
2013-07-21,62,156.94.190.172,12,Integrated coherent installation,1366,e-enable,0,0
2013-07-17,10,158.57.178.135,13,Object-based static middleware,1440,envisioneer,0,0
2013-07-17,44,76.100.80.134,6,Triple-buffered object-oriented data-warehouse,1440,synergize,0,0
2013-07-18,25,183.103.130.81,14,Optional background time-frame,1920,repurpose,0,0
2013-07-25,62,220.180.190.135,12,Reactive grid-enabled functionalities,1920,streamline,0,0
2013-07-08,62,184.164.193.144,12,Seamless grid-enabled database,1536,synergize,0,0
2013-07-20,44,189.168.20.0,15,Mandatory reciprocal migration,1536,optimize,0,0
2013-07-14,25,97.191.51.101,2,Pre-emptive exuding middleware,1440,transition,1,0
2013-07-17,44,44.34.190.47,8,Multi-tiered zero administration time-frame,1366,streamline,0,0
2013-07-25,99,27.36.5.19,4,Streamlined dynamic orchestration,1920,optimize,1,0
2013-07-28,44,103.122.191.236,2,,1366,repurpose,0,0
2013-07-06,25,12.211.130.201,16,,1920,e-enable,0,0
2013-07-02,62,91.4.213.71,5,Profound eco-centric solution,1920,maximize,0,0
2013-07-21,62,92.66.225.211,1,Persevering well-modulated encryption,1366,orchestrate,0,0
2013-07-25,10,93.94.211.80,18,Phased demand-driven application,1366,revolutionize,0,0
2013-07-20,44,122.68.177.25,13,Reduced 3rdgeneration knowledge user,1536,reinvent,0,0
2013-07-30,10,56.180.45.213,1,Monitored human-resource data-warehouse,1536,orchestrate,1,0
2013-07-08,62,91.206.18.123,3,Adaptive bottom-line middleware,1920,iterate,0,0
2013-07-03,44,65.251.235.217,15,Optimized bifurcated solution,1440,matrix,0,0
2013-07-09,62,194.245.187.107,3,Operative 5thgeneration secured line,1920,strategize,0,0
2013-07-29,99,203.129.189.82,5,Decentralized directional groupware,1440,monetize,1,0
2013-07-08,25,191.91.67.190,15,Mandatory optimizing application,1536,iterate,0,0
2013-07-24,62,109.248.115.76,4,,1920,facilitate,0,0
2013-07-13,44,41.57.29.112,10,Multi-layered scalable Graphical User Interface,1280,expedite,0,1
2013-07-07,62,212.145.30.72,16,,1440,envisioneer,1,0
2013-07-05,25,199.106.12.60,7,Function-based explicit implementation,1920,incentivize,0,0
2013-07-24,62,94.0.240.126,2,Automated client-driven methodology,1366,iterate,0,0
2013-07-07,10,90.122.85.30,6,Assimilated value-added hardware,1440,enhance,0,0
2013-07-08,44,164.110.60.161,10,Open-architected clear-thinking encoding,1920,re-intermediate,0,0
2013-07-19,25,191.91.67.190,2,Centralized needs-based service-desk,1440,synergize,0,0
2013-07-05,44,190.198.250.25,1,Vision-oriented even-keeled methodology,1280,visualize,0,0
2013-07-15,44,209.79.80.121,13,,1366,innovate,0,0
2013-07-31,25,191.92.121.129,18,,1536,redefine,0,0
2013-07-10,99,101.127.121.20,2,Operative regional service-desk,1366,streamline,1,0
2013-07-09,25,219.158.174.18,19,Vision-oriented responsive forecast,1366,generate,0,0
2013-07-08,62,149.205.35.64,16,Assimilated client-server instruction set,1440,incentivize,0,0
2013-07-06,44,159.79.195.250,15,,1366,innovate,1,0
2013-07-27,25,62.164.105.99,18,,1366,optimize,0,0
2013-07-15,99,191.92.121.129,12,Open-source zero tolerance Local Area Network,1536,disintermediate,1,0
2013-07-31,62,164.153.17.79,12,,1280,synergize,0,0
2013-07-11,44,184.185.246.110,12,Multi-channeled real-time projection,1536,unleash,0,0
2013-07-28,44,199.106.12.60,1,Open-architected tertiary synergy,1366,unleash,0,0
2013-07-29,10,29.119.18.149,14,Face-to-face optimizing budgetary management,1440,architect,0,0
2013-07-18,25,26.3.198.187,18,Integrated upward-trending hub,1440,matrix,0,0
2013-07-28,62,212.0.120.26,5,Networked systematic support,1280,grow,0,0
2013-07-13,44,111.22.26.7,6,Fully-configurable dynamic encoding,1920,exploit,1,0
2013-07-11,99,79.86.228.69,5,Stand-alone radical parallelism,1536,architect,0,0
2013-07-22,25,188.26.155.169,10,Enhanced 24hour toolset,1536,disintermediate,1,0
2013-07-01,25,97.191.51.101,12,De-engineered impactful monitoring,1280,iterate,0,0
2013-07-01,62,103.253.123.59,14,Innovative heuristic installation,1920,disintermediate,0,0
2013-07-18,62,124.212.54.62,6,Networked discrete Internet solution,1366,orchestrate,0,0
2013-07-07,44,190.55.22.124,3,Fundamental holistic paradigm,1440,repurpose,0,0
2013-07-13,62,92.134.160.221,7,Public-key explicit process improvement,1440,maximize,0,0
2013-07-10,62,162.47.28.121,17,Phased hybrid ability,1920,iterate,0,0
2013-07-18,25,41.238.81.170,16,Networked real-time moratorium,1536,incentivize,0,0
2013-07-04,99,205.73.123.47,7,Pre-emptive reciprocal knowledgebase,1280,syndicate,0,0
2013-07-21,10,203.25.126.200,5,Sharable asymmetric extranet,1280,re-intermediate,1,1
2013-07-06,25,167.206.66.15,9,Organized clear-thinking budgetary management,1280,evolve,1,0
2013-07-09,62,167.245.96.137,8,Focused methodical matrices,1440,strategize,1,0
2013-07-07,62,130.237.253.42,4,Face-to-face logistical application,1366,enhance,0,0
2013-07-16,62,93.94.211.80,2,,1920,synergize,0,0
2013-07-21,62,219.47.241.90,9,Sharable motivating migration,1536,monetize,0,1
2013-07-05,62,150.98.254.188,16,Secured impactful Graphic Interface,1440,unleash,0,0
2013-07-04,44,164.168.31.115,17,Switchable local open architecture,1440,grow,0,0
2013-07-30,10,98.7.133.253,15,Open-source human-resource firmware,1280,enable,0,0
2013-07-28,44,119.204.221.209,13,,1440,e-enable,1,0
2013-07-25,62,164.255.170.68,11,Managed leadingedge extranet,1440,extend,0,0
2013-07-05,25,95.238.96.138,11,Devolved asymmetric success,1920,unleash,0,0
2013-07-20,62,73.184.27.116,17,Integrated bandwidth-monitored solution,1280,aggregate,0,0
2013-07-17,44,183.103.130.81,8,Automated well-modulated success,1536,matrix,1,0
2013-07-08,44,121.222.35.61,13,User-centric non-volatile portal,1280,architect,0,0
2013-07-15,10,10.170.238.221,19,Customizable solution-oriented toolset,1366,iterate,0,0
2013-07-19,44,187.159.191.104,15,Up-sized systemic challenge,1366,expedite,0,0
2013-07-02,44,161.176.3.17,9,Polarized foreground product,1536,monetize,0,0
2013-07-01,62,84.84.129.116,12,Seamless 3rdgeneration project,1920,engage,0,0
2013-07-30,10,104.195.29.16,4,Versatile fresh-thinking Graphical User Interface,1536,productize,0,0
2013-07-07,62,207.188.103.203,11,Pre-emptive uniform utilization,1366,expedite,0,0
2013-07-24,25,218.39.236.7,13,Triple-buffered 3rdgeneration conglomeration,1920,revolutionize,0,0
2013-07-14,44,134.207.20.44,17,,1366,syndicate,1,0
2013-07-16,10,107.172.237.173,6,Optional 3rdgeneration database,1280,seize,0,0
2013-07-17,62,34.96.124.81,15,Organized system-worthy Local Area Network,1920,optimize,0,0
2013-07-03,44,217.44.5.116,12,,1440,innovate,0,0
2013-07-22,62,161.176.3.17,10,Innovative holistic protocol,1536,aggregate,0,0
2013-07-01,10,94.235.97.0,18,,1920,re-contextualize,0,1
2013-07-06,44,15.38.160.226,1,Secured executive access,1920,streamline,0,0
2013-07-03,44,170.116.249.239,12,Programmable encompassing orchestration,1440,whiteboard,0,0
2013-07-04,62,217.191.76.137,10,Organic 3rdgeneration Graphical User Interface,1536,redefine,0,0
2013-07-18,44,86.155.205.112,4,Upgradable upward-trending model,1280,revolutionize,0,0
2013-07-13,62,73.72.56.98,6,Ergonomic asynchronous task-force,1920,envisioneer,0,0
2013-07-31,62,180.218.16.0,14,,1440,orchestrate,0,0
2013-07-16,10,11.218.192.26,7,Multi-channeled object-oriented emulation,1366,disintermediate,0,0
2013-07-28,62,81.12.99.51,4,Extended modular product,1366,transition,1,0
2013-07-02,10,172.151.215.31,2,Versatile fresh-thinking core,1280,generate,0,0
2013-07-28,62,124.122.177.206,3,Devolved logistical synergy,1920,syndicate,0,0
2013-07-13,10,101.170.67.110,11,Multi-lateral non-volatile hierarchy,1280,revolutionize,0,0
2013-07-06,99,60.118.14.175,6,Persevering exuding open system,1280,strategize,0,0
2013-07-20,10,126.108.49.250,5,Balanced zero tolerance encryption,1536,deploy,0,0
2013-07-02,25,151.34.76.89,9,,1440,target,0,0
2013-07-04,62,67.156.193.248,4,Enhanced context-sensitive circuit,1366,morph,0,0
2013-07-30,10,180.218.16.0,11,Multi-channeled grid-enabled extranet,1920,scale,1,0
2013-07-01,62,170.165.207.76,15,,1280,matrix,0,0
2013-07-04,62,144.50.62.249,5,Virtual modular leverage,1366,re-intermediate,0,0
2013-07-19,44,45.247.235.104,6,Monitored grid-enabled frame,1536,deploy,0,0
2013-07-23,10,157.154.87.203,10,Multi-layered scalable function,1280,architect,0,0
2013-07-17,99,114.207.6.167,14,,1366,synergize,0,0
2013-07-18,62,86.14.202.135,13,,1920,architect,0,0
2013-07-27,10,150.153.227.50,9,Diverse disintermediate functionalities,1366,harness,0,0
2013-07-26,25,97.236.57.131,15,Profound system-worthy database,1920,reinvent,0,0
2013-07-18,10,130.237.253.42,7,Adaptive well-modulated website,1280,incentivize,0,0
2013-07-22,10,194.191.237.71,11,Upgradable eco-centric analyzer,1440,incubate,0,0
2013-07-22,99,89.166.121.30,14,Adaptive explicit access,1280,facilitate,0,0
2013-07-18,99,125.118.231.234,18,Open-architected scalable model,1440,deploy,0,0
2013-07-20,62,106.192.28.244,18,Profound methodical utilization,1920,empower,0,0
2013-07-11,62,145.16.84.201,19,,1920,synthesize,0,0
2013-07-04,99,63.57.140.58,10,Diverse incremental open system,1920,scale,0,0
2013-07-07,10,83.217.18.150,7,Realigned system-worthy info-mediaries,1920,harness,0,0
2013-07-15,44,56.16.64.211,1,Reverse-engineered dedicated success,1366,brand,1,0
2013-07-21,62,188.29.61.238,1,Assimilated actuating encoding,1280,utilize,0,0
2013-07-25,25,130.196.180.81,10,Organic incremental architecture,1920,syndicate,0,0
2013-07-25,25,140.88.53.222,5,Realigned bifurcated toolset,1536,morph,0,0
2013-07-30,62,204.46.211.210,11,,1440,re-intermediate,0,0
2013-07-26,25,56.78.135.25,2,Fundamental bifurcated orchestration,1440,innovate,0,0
2013-07-10,25,116.245.221.135,18,User-centric incremental archive,1280,grow,0,0
2013-07-03,10,172.155.116.106,11,Down-sized tangible emulation,1440,cultivate,0,0
2013-07-19,62,191.8.185.13,18,Persistent 24/7 protocol,1920,aggregate,0,0
2013-07-11,10,51.190.20.244,11,Persistent modular encoding,1280,harness,0,0
2013-07-17,62,187.81.58.63,7,,1920,incentivize,0,0
2013-07-01,44,129.212.190.104,15,Customizable needs-based functionalities,1280,unleash,0,0
2013-07-12,62,117.96.106.152,8,Up-sized upward-trending ability,1536,transition,0,0
2013-07-15,62,34.52.118.254,12,Cross-group 4thgeneration framework,1440,orchestrate,0,0
2013-07-02,25,187.140.8.97,12,,1536,integrate,0,0
2013-07-29,44,14.232.27.176,14,Down-sized secondary infrastructure,1366,streamline,0,0
2013-07-14,25,41.24.106.221,10,Visionary zero administration pricing structure,1536,deploy,0,0
2013-07-11,25,109.207.190.175,18,Ameliorated next generation software,1280,facilitate,0,0
2013-07-18,62,40.42.10.74,11,,1440,synthesize,1,0
2013-07-15,62,198.220.53.242,1,Polarized multi-tasking system engine,1920,enable,0,0
2013-07-24,10,85.219.15.132,13,Phased user-facing function,1280,orchestrate,1,0
2013-07-10,25,72.201.188.15,5,Distributed multi-state time-frame,1536,engineer,0,0
2013-07-26,10,15.116.138.235,19,,1440,e-enable,0,0
2013-07-14,25,94.42.9.140,13,Profit-focused radical migration,1366,extend,1,0
2013-07-13,99,122.230.116.105,19,,1536,architect,0,0
2013-07-04,25,207.188.103.203,10,Automated full-range moderator,1280,strategize,0,0
2013-07-03,99,165.156.215.208,14,Ameliorated eco-centric firmware,1440,deploy,0,0
2013-07-30,10,134.14.180.136,15,User-friendly eco-centric website,1440,harness,0,0
2013-07-29,99,188.26.155.169,5,Networked incremental migration,1280,monetize,0,0
2013-07-28,62,151.38.142.243,18,Decentralized foreground toolset,1920,facilitate,0,0
2013-07-02,99,170.67.17.16,3,Integrated non-volatile alliance,1366,utilize,0,0
2013-07-29,99,215.61.118.60,2,Operative system-worthy migration,1920,leverage,0,0
2013-07-01,44,14.41.119.83,11,Reactive user-facing utilization,1536,enable,0,0
